"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"163","AC Milan ","AC Milan","42","42","23,5","17","352,58 Mill. €","8,39 Mill. €",2017
"164","Inter Milan ","Inter Milan","34","34","24,9","22","347,43 Mill. €","10,22 Mill. €",2017
"165","AS Roma ","AS Roma","47","47","22,7","26","328,28 Mill. €","6,98 Mill. €",2017
"166","SS Lazio ","SS Lazio","44","44","23,8","29","220,75 Mill. €","5,02 Mill. €",2017
"167","ACF Fiorentina ","ACF Fiorentina","41","41","23,0","26","168,10 Mill. €","4,10 Mill. €",2017
"168","Torino FC ","Torino FC","51","51","22,8","24","146,00 Mill. €","2,86 Mill. €",2017
"169","Atalanta BC ","Atalanta BC","37","37","22,6","18","126,33 Mill. €","3,41 Mill. €",2017
"170","US Sassuolo ","US Sassuolo","39","39","24,0","7","122,13 Mill. €","3,13 Mill. €",2017
"171","UC Sampdoria ","UC Sampdoria","39","39","23,6","25","113,85 Mill. €","2,92 Mill. €",2017
"172","Genoa CFC ","Genoa CFC","44","44","25,1","24","113,48 Mill. €","2,58 Mill. €",2017
"173","Udinese Calcio ","Udinese Calcio","46","46","23,0","35","87,18 Mill. €","1,90 Mill. €",2017
"174","Bologna FC 1909 ","Bologna FC 1909","41","41","24,4","22","82,63 Mill. €","2,02 Mill. €",2017
"175","Cagliari Calcio ","Cagliari Calcio","41","41","24,4","14","73,33 Mill. €","1,79 Mill. €",2017
"176","Benevento Calcio  ","Benevento Calcio","48","48","24,1","21","61,80 Mill. €","1,29 Mill. €",2017
"177","Chievo Verona ","Chievo Verona","36","36","26,4","16","50,78 Mill. €","1,41 Mill. €",2017
"178","SPAL 2013  ","SPAL 2013","42","42","24,4","13","50,40 Mill. €","1,20 Mill. €",2017
"179","Hellas Verona  ","Hellas Verona","41","41","24,5","18","46,30 Mill. €","1,13 Mill. €",2017
"180","FC Crotone ","FC Crotone","40","40","23,1","19","37,00 Mill. €","925 Th. €",2017
"181","Juventus FC ","Juventus FC","59","59","24,0","25","873,78 Mill. €","14,81 Mill. €",2018
"182","Inter Milan ","Inter Milan","60","60","23,0","30","585,88 Mill. €","9,76 Mill. €",2018
"183","AC Milan ","AC Milan","45","45","23,5","22","525,98 Mill. €","11,69 Mill. €",2018
"184","SSC Napoli ","SSC Napoli","54","54","23,3","27","520,65 Mill. €","9,64 Mill. €",2018
"185","AS Roma ","AS Roma","57","57","22,8","27","434,88 Mill. €","7,63 Mill. €",2018
"186","SS Lazio ","SS Lazio","57","57","23,4","34","347,05 Mill. €","6,09 Mill. €",2018
"187","Atalanta BC ","Atalanta BC","88","88","21,7","30","252,63 Mill. €","2,87 Mill. €",2018
"188","ACF Fiorentina ","ACF Fiorentina","56","56","22,0","36","247,00 Mill. €","4,41 Mill. €",2018
"189","Torino FC ","Torino FC","62","62","22,8","29","196,43 Mill. €","3,17 Mill. €",2018
"190","UC Sampdoria ","UC Sampdoria","59","59","22,5","30","170,63 Mill. €","2,89 Mill. €",2018
"191","US Sassuolo ","US Sassuolo","59","59","22,8","15","163,18 Mill. €","2,77 Mill. €",2018
"192","Udinese Calcio ","Udinese Calcio","56","56","23,7","41","159,10 Mill. €","2,84 Mill. €",2018
