"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"176","LB Châteauroux  ","LB Châteauroux","31","31","25,0","10","10,08 Mill. €","325 Th. €",2017
"177","Clermont Foot Auvergne 63 ","Clermont Foot Auvergne 63","25","25","24,2","8","9,68 Mill. €","387 Th. €",2017
"178","US Quevilly-Rouen Métropole  ","US Quevilly-Rouen Métropole","32","32","25,3","13","9,13 Mill. €","285 Th. €",2017
"179","US Orléans ","US Orléans","28","28","26,1","7","7,13 Mill. €","254 Th. €",2017
"180","Paris FC ","Paris FC","33","33","25,7","15","6,93 Mill. €","210 Th. €",2017
"181","FC Metz  ","FC Metz","37","37","23,3","24","31,80 Mill. €","859 Th. €",2018
"182","ES Troyes AC  ","ES Troyes AC","40","40","25,0","20","31,00 Mill. €","775 Th. €",2018
"183","RC Lens ","RC Lens","38","38","23,1","17","21,48 Mill. €","565 Th. €",2018
"184","AS Nancy-Lorraine ","AS Nancy-Lorraine","43","43","24,3","16","21,15 Mill. €","492 Th. €",2018
"185","AJ Auxerre ","AJ Auxerre","33","33","24,6","12","20,10 Mill. €","609 Th. €",2018
"186","FC Lorient ","FC Lorient","41","41","24,1","14","19,73 Mill. €","481 Th. €",2018
"187","AC Le Havre ","AC Le Havre","31","31","24,4","18","18,95 Mill. €","611 Th. €",2018
"188","Stade Brest 29 ","Stade Brest 29","29","29","24,8","5","18,50 Mill. €","638 Th. €",2018
"189","FC Sochaux-Montbéliard ","FC Sochaux-Montbéliard","44","44","21,7","21","14,20 Mill. €","323 Th. €",2018
"190","Valenciennes FC  ","Valenciennes FC ","36","36","24,4","12","13,00 Mill. €","361 Th. €",2018
"191","Clermont Foot Auvergne 63 ","Clermont Foot Auvergne 63","34","34","23,6","8","11,70 Mill. €","344 Th. €",2018
"192","Red Star FC  ","Red Star FC","36","36","24,9","14","11,00 Mill. €","306 Th. €",2018
"193","AC Ajaccio ","AC Ajaccio","30","30","25,1","10","10,60 Mill. €","353 Th. €",2018
"194","LB Châteauroux ","LB Châteauroux","31","31","24,4","10","10,58 Mill. €","341 Th. €",2018
"195","Paris FC ","Paris FC","29","29","25,8","19","10,55 Mill. €","364 Th. €",2018
