"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"200","Cardiff City  ","Cardiff City","35","35","26,3","32","76,00 Mill. €","2,17 Mill. €",2018
"201","Manchester City ","Manchester City","25","25","26,8","20","1,27 Bill. €","50,64 Mill. €",2019
"202","Liverpool FC ","Liverpool FC","24","24","27,1","16","1,07 Bill. €","44,51 Mill. €",2019
"203","Tottenham Hotspur ","Tottenham Hotspur","24","24","26,0","16","979,50 Mill. €","40,81 Mill. €",2019
"204","Chelsea FC ","Chelsea FC","31","31","25,8","23","829,75 Mill. €","26,77 Mill. €",2019
"205","Manchester United ","Manchester United","29","29","26,3","17","782,25 Mill. €","26,97 Mill. €",2019
"206","Arsenal FC ","Arsenal FC","27","27","25,6","21","674,75 Mill. €","24,99 Mill. €",2019
"207","Everton FC ","Everton FC","28","28","27,2","20","524,00 Mill. €","18,71 Mill. €",2019
"208","Leicester City ","Leicester City","30","30","26,3","21","405,25 Mill. €","13,51 Mill. €",2019
"209","West Ham United ","West Ham United","25","25","28,5","18","344,25 Mill. €","13,77 Mill. €",2019
"210","AFC Bournemouth ","AFC Bournemouth","28","28","26,2","13","320,00 Mill. €","11,43 Mill. €",2019
"211","Wolverhampton Wanderers ","Wolverhampton Wanderers","28","28","25,3","21","313,60 Mill. €","11,20 Mill. €",2019
"212","Southampton FC ","Southampton FC","27","27","25,6","17","282,70 Mill. €","10,47 Mill. €",2019
"213","Watford FC ","Watford FC","33","33","27,4","25","255,35 Mill. €","7,74 Mill. €",2019
"214","Newcastle United ","Newcastle United","30","30","27,3","20","252,58 Mill. €","8,42 Mill. €",2019
"215","Crystal Palace ","Crystal Palace","25","25","28,5","16","230,70 Mill. €","9,23 Mill. €",2019
"216","Brighton & Hove Albion ","Brighton & Hove Albion","27","27","27,3","19","219,25 Mill. €","8,12 Mill. €",2019
"217","Burnley FC ","Burnley FC","25","25","28,8","10","205,75 Mill. €","8,23 Mill. €",2019
"218","Aston Villa  ","Aston Villa","26","26","26,4","17","157,50 Mill. €","6,06 Mill. €",2019
"219","Norwich City  ","Norwich City","26","26","27,0","20","92,10 Mill. €","3,54 Mill. €",2019
"220","Sheffield United  ","Sheffield United","28","28","28,0","13","69,65 Mill. €","2,49 Mill. €",2019
