"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"165","US Avellino 1912 ","US Avellino 1912","46","46","23,8","13","17,90 Mill. €","389 Th. €",2016
"166","AC Perugia Calcio ","AC Perugia Calcio","55","55","21,6","13","17,88 Mill. €","325 Th. €",2016
"167","Trapani Calcio ","Trapani Calcio","50","50","24,5","11","17,08 Mill. €","342 Th. €",2016
"168","US Salernitana 1919 ","US Salernitana 1919","41","41","24,4","8","16,75 Mill. €","409 Th. €",2016
"169","US Latina Calcio ","US Latina Calcio","56","56","22,9","16","16,28 Mill. €","291 Th. €",2016
"170","Virtus Entella ","Virtus Entella","50","50","22,5","14","15,30 Mill. €","306 Th. €",2016
"171","Benevento Calcio  ","Benevento Calcio","46","46","22,8","13","15,08 Mill. €","328 Th. €",2016
"172","SPAL 2013  ","SPAL 2013","46","46","22,7","3","13,85 Mill. €","301 Th. €",2016
"173","FC Pro Vercelli 1892 ","FC Pro Vercelli 1892","47","47","23,1","7","11,78 Mill. €","251 Th. €",2016
"174","Ascoli Picchio ","Ascoli Picchio","53","53","21,1","11","11,43 Mill. €","216 Th. €",2016
"175","AC Pisa 1909  ","AC Pisa 1909","46","46","23,4","10","11,25 Mill. €","245 Th. €",2016
"176","AS Cittadella  ","AS Cittadella","35","35","23,4","2","7,60 Mill. €","217 Th. €",2016
"177","US Palermo  ","US Palermo","44","44","23,1","21","31,48 Mill. €","715 Th. €",2017
"178","Delfino Pescara 1936  ","Delfino Pescara 1936","46","46","23,7","15","29,15 Mill. €","634 Th. €",2017
"179","Frosinone Calcio ","Frosinone Calcio","39","39","23,6","5","29,08 Mill. €","746 Th. €",2017
"180","FC Empoli  ","FC Empoli","45","45","22,6","17","28,15 Mill. €","626 Th. €",2017
"181","FC Bari 1908 ","FC Bari 1908","51","51","24,7","16","26,35 Mill. €","517 Th. €",2017
"182","AC Perugia Calcio ","AC Perugia Calcio","51","51","23,1","17","23,13 Mill. €","453 Th. €",2017
"183","Spezia Calcio ","Spezia Calcio","52","52","23,5","10","22,25 Mill. €","428 Th. €",2017
"184","Parma Calcio 1913  ","Parma Calcio 1913","41","41","26,9","6","21,00 Mill. €","512 Th. €",2017
"185","Virtus Entella ","Virtus Entella","42","42","23,8","8","19,58 Mill. €","466 Th. €",2017
"186","Brescia Calcio ","Brescia Calcio","49","49","22,4","16","19,30 Mill. €","394 Th. €",2017
"187","Carpi FC 1909 ","Carpi FC 1909","41","41","23,2","10","19,28 Mill. €","470 Th. €",2017
"188","US Cremonese  ","US Cremonese","51","51","25,0","9","19,08 Mill. €","374 Th. €",2017
"189","Novara Calcio 1908 ","Novara Calcio 1908","41","41","23,5","12","18,98 Mill. €","463 Th. €",2017
"190","US Salernitana 1919 ","US Salernitana 1919","45","45","23,9","17","17,95 Mill. €","399 Th. €",2017
"191","AC Cesena ","AC Cesena","42","42","23,1","7","15,65 Mill. €","373 Th. €",2017
"192","FC Pro Vercelli 1892 ","FC Pro Vercelli 1892","49","49","23,9","10","15,28 Mill. €","312 Th. €",2017
"193","Ascoli Picchio ","Ascoli Picchio","57","57","21,9","8","14,63 Mill. €","257 Th. €",2017
"194","US Avellino 1912 ","US Avellino 1912","40","40","24,3","13","14,43 Mill. €","361 Th. €",2017
"195","AS Cittadella ","AS Cittadella","33","33","23,9","2","13,68 Mill. €","414 Th. €",2017
"196","Foggia Calcio  ","Foggia Calcio","51","51","25,1","9","13,18 Mill. €","258 Th. €",2017
"197","Venezia FC  ","Venezia FC","43","43","24,7","7","9,90 Mill. €","230 Th. €",2017
"198","Ternana Unicusano Calcio ","Ternana Unicusano Calcio","44","44","23,3","1","9,78 Mill. €","222 Th. €",2017
"199","Hellas Verona  ","Hellas Verona","54","54","23,5","20","38,15 Mill. €","706 Th. €",2018
"200","US Palermo ","US Palermo","41","41","23,7","18","33,15 Mill. €","809 Th. €",2018
"201","FC Crotone  ","FC Crotone","49","49","22,9","23","32,93 Mill. €","672 Th. €",2018
"202","Benevento Calcio  ","Benevento Calcio","43","43","24,1","9","31,95 Mill. €","743 Th. €",2018
"203","AC Perugia Calcio ","AC Perugia Calcio","41","41","23,9","12","31,55 Mill. €","770 Th. €",2018
"204","Brescia Calcio ","Brescia Calcio","36","36","23,5","8","29,18 Mill. €","810 Th. €",2018
"205","Delfino Pescara 1936 ","Delfino Pescara 1936","59","59","22,7","14","23,33 Mill. €","395 Th. €",2018
"206","Ascoli Calcio ","Ascoli Calcio","58","58","23,5","13","22,53 Mill. €","388 Th. €",2018
"207","Carpi FC 1909 ","Carpi FC 1909","57","57","23,2","17","21,13 Mill. €","371 Th. €",2018
"208","Foggia Calcio ","Foggia Calcio","46","46","24,3","9","20,63 Mill. €","448 Th. €",2018
"209","US Cremonese ","US Cremonese","42","42","25,3","10","20,23 Mill. €","482 Th. €",2018
"210","US Salernitana 1919 ","US Salernitana 1919","48","48","24,9","14","20,05 Mill. €","418 Th. €",2018
"211","US Lecce  ","US Lecce","46","46","25,0","8","18,33 Mill. €","398 Th. €",2018
"212","Spezia Calcio ","Spezia Calcio","43","43","23,4","10","17,15 Mill. €","399 Th. €",2018
"213","Venezia FC ","Venezia FC","44","44","24,4","9","16,80 Mill. €","382 Th. €",2018
"214","Calcio Padova  ","Calcio Padova","49","49","25,0","7","15,58 Mill. €","318 Th. €",2018
"215","AS Cittadella ","AS Cittadella","39","39","23,8","1","14,85 Mill. €","381 Th. €",2018
"216","AS Livorno  ","AS Livorno","48","48","25,0","13","13,18 Mill. €","274 Th. €",2018
"217","Cosenza Calcio  ","Cosenza Calcio","43","43","24,3","8","11,85 Mill. €","276 Th. €",2018
"218","FC Empoli  ","FC Empoli","30","30","25,1","10","35,48 Mill. €","1,18 Mill. €",2019
"219","Frosinone Calcio  ","Frosinone Calcio","26","26","26,2","5","22,70 Mill. €","873 Th. €",2019
"220","Chievo Verona  ","Chievo Verona","38","38","24,7","21","22,20 Mill. €","584 Th. €",2019
"221","AC Perugia Calcio ","AC Perugia Calcio","25","25","24,7","7","18,95 Mill. €","758 Th. €",2019
"222","Benevento Calcio ","Benevento Calcio","26","26","27,8","7","18,40 Mill. €","708 Th. €",2019
"223","FC Crotone ","FC Crotone","31","31","25,1","16","17,33 Mill. €","559 Th. €",2019
"224","Delfino Pescara 1936 ","Delfino Pescara 1936","40","40","25,3","10","16,98 Mill. €","424 Th. €",2019
"225","Spezia Calcio ","Spezia Calcio","30","30","24,0","13","16,25 Mill. €","542 Th. €",2019
"226","Ascoli Calcio ","Ascoli Calcio","27","27","25,8","7","15,05 Mill. €","557 Th. €",2019
"227","US Salernitana 1919 ","US Salernitana 1919","31","31","26,5","10","14,03 Mill. €","452 Th. €",2019
"228","US Cremonese ","US Cremonese","22","22","28,6","4","11,80 Mill. €","536 Th. €",2019
"229","AS Livorno ","AS Livorno","27","27","24,8","10","11,78 Mill. €","436 Th. €",2019
"230","AS Cittadella ","AS Cittadella","28","28","24,7","2","11,73 Mill. €","419 Th. €",2019
"231","Virtus Entella  ","Virtus Entella","36","36","25,0","3","11,60 Mill. €","322 Th. €",2019
"232","Venezia FC ","Venezia FC","31","31","24,5","7","10,28 Mill. €","331 Th. €",2019
"233","SS Juve Stabia  ","SS Juve Stabia","30","30","27,0","6","9,28 Mill. €","309 Th. €",2019
"234","Cosenza Calcio ","Cosenza Calcio","21","21","27,0","4","8,35 Mill. €","398 Th. €",2019
"235","Pordenone Calcio  ","Pordenone Calcio","28","28","26,5","1","8,00 Mill. €","286 Th. €",2019
"236","AC Pisa 1909  ","AC Pisa 1909","27","27","26,9","3","7,45 Mill. €","276 Th. €",2019
"237","Trapani Calcio  ","Trapani Calcio","26","26","26,3","5","6,23 Mill. €","239 Th. €",2019
