"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"40","FC Schalke 04 ","FC Schalke 04","37","37","23,9","20","136,73 Mill. €","3,70 Mill. €",2011
"41","SV Werder Bremen ","SV Werder Bremen","38","38","23,3","17","125,35 Mill. €","3,30 Mill. €",2011
"42","VfL Wolfsburg ","VfL Wolfsburg","44","44","24,9","28","122,00 Mill. €","2,77 Mill. €",2011
"43","Hamburger SV ","Hamburger SV","36","36","23,1","24","103,20 Mill. €","2,87 Mill. €",2011
"44","VfB Stuttgart ","VfB Stuttgart","32","32","24,3","18","101,88 Mill. €","3,18 Mill. €",2011
"45","TSG 1899 Hoffenheim ","TSG 1899 Hoffenheim","34","34","23,0","20","93,60 Mill. €","2,75 Mill. €",2011
"46","1. FC Köln ","1. FC Köln","31","31","24,2","17","69,29 Mill. €","2,24 Mill. €",2011
"47","Hannover 96 ","Hannover 96","31","31","24,7","17","68,85 Mill. €","2,22 Mill. €",2011
"48","Borussia Mönchengladbach ","Borussia Mönchengladbach","28","28","23,4","15","59,08 Mill. €","2,11 Mill. €",2011
"49","SC Freiburg ","SC Freiburg","34","34","24,2","17","57,40 Mill. €","1,69 Mill. €",2011
"50","1.FSV Mainz 05 ","1.FSV Mainz 05","30","30","24,7","18","55,10 Mill. €","1,84 Mill. €",2011
"51","Hertha BSC  ","Hertha BSC","30","30","23,5","17","50,35 Mill. €","1,68 Mill. €",2011
"52","1.FC Kaiserslautern ","1.FC Kaiserslautern","36","36","23,2","21","50,05 Mill. €","1,39 Mill. €",2011
"53","1.FC Nuremberg ","1.FC Nuremberg","30","30","23,2","12","43,18 Mill. €","1,44 Mill. €",2011
"54","FC Augsburg  ","FC Augsburg","32","32","25,2","15","34,98 Mill. €","1,09 Mill. €",2011
"55","Bayern Munich ","Bayern Munich","28","28","24,5","13","407,30 Mill. €","14,55 Mill. €",2012
"56","Borussia Dortmund ","Borussia Dortmund","29","29","23,3","10","227,68 Mill. €","7,85 Mill. €",2012
"57","FC Schalke 04 ","FC Schalke 04","28","28","24,3","17","171,00 Mill. €","6,11 Mill. €",2012
"58","VfL Wolfsburg ","VfL Wolfsburg","34","34","25,0","25","120,33 Mill. €","3,54 Mill. €",2012
"59","Bayer 04 Leverkusen ","Bayer 04 Leverkusen","32","32","22,8","11","115,90 Mill. €","3,62 Mill. €",2012
"60","Hamburger SV ","Hamburger SV","28","28","24,4","18","110,60 Mill. €","3,95 Mill. €",2012
"61","VfB Stuttgart ","VfB Stuttgart","32","32","24,6","19","102,03 Mill. €","3,19 Mill. €",2012
"62","Hannover 96 ","Hannover 96","32","32","24,9","19","88,00 Mill. €","2,75 Mill. €",2012
"63","TSG 1899 Hoffenheim ","TSG 1899 Hoffenheim","42","42","22,8","24","85,03 Mill. €","2,02 Mill. €",2012
"64","Borussia Mönchengladbach ","Borussia Mönchengladbach","27","27","23,7","14","81,00 Mill. €","3,00 Mill. €",2012
"65","SV Werder Bremen ","SV Werder Bremen","32","32","22,5","14","79,20 Mill. €","2,48 Mill. €",2012
"66","Eintracht Frankfurt  ","Eintracht Frankfurt","31","31","24,4","13","51,20 Mill. €","1,65 Mill. €",2012
"67","1.FSV Mainz 05 ","1.FSV Mainz 05","31","31","25,5","18","50,95 Mill. €","1,64 Mill. €",2012
"68","FC Augsburg ","FC Augsburg","31","31","25,4","17","47,00 Mill. €","1,52 Mill. €",2012
"69","SC Freiburg ","SC Freiburg","31","31","23,1","14","45,45 Mill. €","1,47 Mill. €",2012
"70","1.FC Nuremberg ","1.FC Nuremberg","30","30","23,4","13","42,65 Mill. €","1,42 Mill. €",2012
"71","SpVgg Greuther Fürth  ","SpVgg Greuther Fürth","37","37","23,8","19","34,08 Mill. €","921 Th. €",2012
"72","Fortuna Düsseldorf  ","Fortuna Düsseldorf","34","34","24,9","19","31,75 Mill. €","934 Th. €",2012
"73","Bayern Munich ","Bayern Munich","30","30","24,1","15","483,98 Mill. €","16,13 Mill. €",2013
"74","Borussia Dortmund ","Borussia Dortmund","31","31","23,7","11","285,15 Mill. €","9,20 Mill. €",2013
"75","FC Schalke 04 ","FC Schalke 04","33","33","24,1","17","186,95 Mill. €","5,67 Mill. €",2013
"76","Bayer 04 Leverkusen ","Bayer 04 Leverkusen","33","33","23,5","14","141,85 Mill. €","4,30 Mill. €",2013
"77","VfL Wolfsburg ","VfL Wolfsburg","35","35","24,2","24","134,73 Mill. €","3,85 Mill. €",2013
"78","Hamburger SV ","Hamburger SV","33","33","24,1","19","111,70 Mill. €","3,38 Mill. €",2013
"79","VfB Stuttgart ","VfB Stuttgart","32","32","24,4","17","100,98 Mill. €","3,16 Mill. €",2013
"80","Borussia Mönchengladbach ","Borussia Mönchengladbach","28","28","24,0","14","94,78 Mill. €","3,38 Mill. €",2013
"81","Eintracht Frankfurt ","Eintracht Frankfurt","33","33","23,7","11","84,93 Mill. €","2,57 Mill. €",2013
"82","Hannover 96 ","Hannover 96","35","35","24,2","20","83,55 Mill. €","2,39 Mill. €",2013
"83","TSG 1899 Hoffenheim ","TSG 1899 Hoffenheim","43","43","22,7","24","77,08 Mill. €","1,79 Mill. €",2013
"84","SV Werder Bremen ","SV Werder Bremen","38","38","22,8","19","74,45 Mill. €","1,96 Mill. €",2013
